t_hours,alt_truth,alt_mean,alt_recon,sp_correction,recon_error_m
0.000000,492.985400,494.642940,493.598086,-1.044854,-612.685992
0.013163,492.994027,494.443718,493.604229,-0.839490,-610.201179
0.026325,493.020455,494.258086,493.621346,-0.636740,-600.891681
0.039488,493.065452,494.086559,493.650237,-0.436321,-584.784711
0.052651,493.129720,493.929611,493.691831,-0.237780,-562.110819
0.065813,493.213875,493.787679,493.747178,-0.040501,-533.303211
0.078976,493.318442,493.661156,493.817429,0.156273,-498.987505
0.092139,493.443843,493.550395,493.903802,0.353408,-459.959670
0.105302,493.590389,493.455702,494.007540,0.551838,-417.150986
0.118464,493.758272,493.377341,494.129852,0.752511,-371.580581
0.131627,493.947558,493.315530,494.271856,0.956326,-324.298070
0.144790,494.158180,493.270441,494.434501,1.164060,-276.320817
0.157952,494.389937,493.242201,494.618509,1.376307,-228.571833
0.171115,494.642485,493.230889,494.824310,1.593421,-181.825001
0.184278,494.915338,493.236537,495.052002,1.815466,-136.664050
0.197440,495.207870,493.259130,495.301331,2.042201,-93.460350
0.210603,495.519310,493.298607,495.571682,2.273075,-52.372479
0.223766,495.848745,493.354861,495.862113,2.507252,-13.367877
0.236929,496.195128,493.427735,496.171392,2.743657,23.735843
0.250091,496.557275,493.517030,496.498061,2.981031,59.214707
0.263254,496.933879,493.622499,496.840505,3.218006,93.373868
0.276417,497.323508,493.743851,497.197026,3.453175,126.482185
0.289579,497.724623,493.880751,497.565909,3.685158,158.713304
0.302742,498.135578,494.032821,497.945478,3.912657,190.099774
0.315905,498.554636,494.199641,498.334131,4.134490,220.505242
0.329067,498.979982,494.380751,498.730364,4.349614,249.617755
0.342230,499.409729,494.575649,499.132763,4.557115,276.965081
0.355393,499.841934,494.783797,499.539983,4.756186,301.950716
0.368556,500.274615,495.004621,499.950708,4.946087,323.907349
0.381718,500.705761,495.237510,500.363598,5.126088,342.162816
0.394881,501.133346,495.481822,500.777233,5.295411,356.112456
0.408044,501.555346,495.736880,501.190055,5.453175,365.291037
0.421206,501.969754,496.001981,501.600317,5.598336,369.437320
0.434369,502.374595,496.276393,502.006050,5.729657,368.544775
0.447532,502.767937,496.559358,502.405044,5.845686,362.893016
0.460694,503.147909,496.850095,502.794853,5.944759,353.056059
0.473857,503.512715,497.147801,503.172829,6.025029,339.885569
0.487020,503.860644,497.451654,503.536174,6.084520,324.469538
0.500183,504.190085,497.760818,503.882016,6.121198,308.069282
0.513345,504.499539,498.074437,504.207499,6.133062,292.039917
0.526508,504.787629,498.391648,504.509887,6.118239,277.741294
0.539671,505.053107,498.711577,504.786659,6.075083,266.447498
0.552833,505.294867,499.033339,505.035604,6.002264,259.263198
0.565996,505.511949,499.356050,505.254894,5.898844,257.054329
0.579159,505.703546,499.678819,505.443147,5.764327,260.398757
0.592321,505.869008,500.000758,505.599448,5.598690,269.560096
0.605484,506.007846,500.320979,505.723361,5.402382,284.484985
0.618647,506.119733,500.638601,505.814912,5.176311,304.821405
0.631810,506.204504,500.952749,505.874551,4.921802,329.953520
0.644972,506.262156,501.262558,505.903108,4.640551,359.047299
0.658135,506.292843,501.567175,505.901742,4.334566,391.101090
0.671298,506.296875,501.865764,505.871879,4.006116,424.996164
0.684460,506.274712,502.157501,505.815168,3.657668,459.543827
0.697623,506.226956,502.441584,505.733429,3.291845,493.527546
0.710786,506.154346,502.717233,505.628605,2.911373,525.740205
0.723948,506.057744,502.983688,505.502726,2.519038,555.017772
0.737111,505.938134,503.240218,505.357862,2.117644,580.271090
0.750274,505.796602,503.486118,505.196085,1.709967,600.517210
0.763436,505.634333,503.720711,505.019422,1.298711,614.910825
0.776599,505.452593,503.943353,504.829817,0.886465,622.775234
0.789762,505.252718,504.153431,504.629087,0.475656,623.631114
0.802925,505.036104,504.350369,504.418884,0.068515,617.220533
0.816087,504.804191,504.533625,504.200668,-0.332956,603.523257
0.829250,504.558451,504.702695,503.975688,-0.727007,582.762560
0.842413,504.300373,504.857115,503.744974,-1.112141,555.398382
0.855575,504.031452,504.996461,503.509345,-1.487116,522.106780
0.868738,503.753178,505.120349,503.269432,-1.850917,483.745858
0.881901,503.467018,505.228439,503.025709,-2.202730,441.309741
0.895063,503.174411,505.320433,502.778538,-2.541895,395.873411
0.908226,502.876751,505.396078,502.528219,-2.867859,348.532198
0.921389,502.575382,505.455165,502.275041,-3.180124,300.340425
0.934552,502.271582,505.497533,502.019328,-3.478204,252.253934
0.947714,501.966563,505.523062,501.761482,-3.761580,205.081120
0.960877,501.661456,505.531683,501.502009,-4.029674,159.446516
0.974040,501.357307,505.523370,501.241537,-4.281833,115.770113
0.987202,501.055076,505.498146,500.980811,-4.517334,74.264337
1.000365,500.755624,505.456078,500.720675,-4.735402,34.949195
1.013528,500.459721,505.397280,500.462037,-4.935244,-2.315490
1.026690,500.168035,505.321913,500.205818,-5.116095,-37.783476
1.039853,499.881136,505.230182,499.952901,-5.277281,-71.765353
1.053016,499.599498,505.122338,499.704065,-5.418273,-104.567129
1.066179,499.323499,504.998674,499.459929,-5.538745,-136.430457
1.079341,499.053423,504.859530,499.220905,-5.638626,-167.481027
1.092504,498.789470,504.705286,498.987161,-5.718124,-197.691188
1.105667,498.531754,504.536363,498.758616,-5.777747,-226.861562
1.118829,498.280314,504.353224,498.534938,-5.818286,-254.624524
1.131992,498.035119,504.156371,498.315589,-5.840782,-280.469951
1.145155,497.796079,503.946343,498.099870,-5.846473,-303.791002
1.158317,497.563051,503.723716,497.886996,-5.836719,-323.945204
1.171480,497.335847,503.489098,497.676172,-5.812927,-340.324205
1.184643,497.114249,503.243135,497.466673,-5.776462,-352.424428
1.197806,496.898011,502.986501,497.257922,-5.728579,-359.910845
1.210968,496.686876,502.719899,497.049543,-5.670355,-362.666979
1.224131,496.480585,502.444062,496.841411,-5.602650,-360.826091
1.237294,496.278883,502.159746,496.633664,-5.526082,-354.780781
1.250456,496.081533,501.867734,496.426704,-5.441030,-345.170724
1.263619,495.888323,501.568826,496.221173,-5.347653,-332.850520
1.276782,495.699076,501.263845,496.017918,-5.245927,-318.841366
1.289944,495.513661,500.953629,495.817933,-5.135697,-304.271376
1.303107,495.331995,500.639032,495.622305,-5.016727,-290.309804
1.316270,495.154055,500.320918,495.432155,-4.888763,-278.100232
1.329433,494.979880,500.000163,495.248577,-4.751586,-268.697239
1.342595,494.809580,499.677650,495.072590,-4.605060,-263.010235
1.355758,494.643337,499.354268,494.905095,-4.449174,-261.757226
1.368921,494.481410,499.030908,494.746840,-4.284068,-265.430442
1.382083,494.324132,498.708460,494.598407,-4.110053,-274.274909
1.395246,494.171917,498.387813,494.460197,-3.927616,-288.280336
1.408409,494.025254,498.069852,494.332440,-3.737412,-307.186007
1.421571,493.884708,497.755454,494.215205,-3.540249,-330.497693
1.434734,493.750912,497.445487,494.108427,-3.337060,-357.514995
1.447897,493.624570,497.140807,494.011937,-3.128869,-387.366952
1.461059,493.506445,496.842254,493.925499,-2.916755,-419.053382
1.474222,493.397354,496.550653,493.848843,-2.701810,-451.489133
1.487385,493.298160,496.266811,493.781709,-2.485102,-483.548557
1.500548,493.209767,495.991512,493.723874,-2.267638,-514.107782
1.513710,493.133102,495.725518,493.675185,-2.050332,-542.083030
1.526873,493.069115,495.469563,493.635579,-1.833984,-566.463931
1.540036,493.018760,495.224357,493.605102,-1.619255,-586.341659
1.553198,492.982988,494.990578,493.583921,-1.406657,-600.932392
1.566361,492.962734,494.768874,493.572331,-1.196543,-609.597025
1.579524,492.958903,494.559858,493.570761,-0.989096,-611.858139
1.592686,492.972363,494.364109,493.579778,-0.784331,-607.414870
1.605849,493.003930,494.182171,493.600085,-0.582086,-596.155575
1.619012,493.054354,494.014548,493.632521,-0.382027,-578.167307
1.632175,493.124313,493.861704,493.678053,-0.183651,-553.740189
1.645337,493.214398,493.724064,493.737762,0.013698,-523.364171
1.658500,493.325105,493.602010,493.812821,0.210811,-487.715578
1.671663,493.456825,493.495881,493.904456,0.408575,-447.631463
1.684825,493.609834,493.405972,494.013905,0.607933,-404.071028
1.697988,493.784287,493.332533,494.142352,0.809819,-358.065206
1.711151,493.980211,493.275768,494.290868,1.015101,-310.657510
1.724313,494.197500,493.235836,494.460341,1.224505,-262.841101
1.737476,494.435909,493.212848,494.651408,1.438560,-215.498355
1.750639,494.695053,493.206870,494.864403,1.657533,-169.349605
1.763802,494.974404,493.217918,495.099321,1.881403,-124.917156
1.776964,495.273289,493.245964,495.355798,2.109834,-82.509123
1.790127,495.590895,493.290931,495.633121,2.342190,-42.225295
1.803290,495.926268,493.352695,495.930253,2.577558,-3.984589
1.816452,496.278318,493.431086,496.245889,2.814802,32.429039
